RFT	BdisA_Bal	BdisA_Bal	692	14.866068747318506	223	15.033296378372908	180	10.63014581273465	735	10.677078252031311
RFT	BdisA_Bal	BdisA	1620	0	722	0	58	0	881	0
RFT	BdisA_Bal	BdisT	16640	0	5918	0	2090	0	7052	0
RFT	BdisA_Bal	BdisT_Bal	7287	0	1855	0	2396	0	6746	0
RFT	BdisA	Osat_Bal	13035	0	1645	0	9800	0	4880	0
SVC	Osat	BdisT_Bal	4298	0	4844	0	1353	0	7789	0
RFT	BdisA	Osat	13020	0	1660	0	13825	0	6947	0
RFT	BdisA	Bdis_Bal	8886	0	422	0	4619	0	4689	0
RFT	BdisA	Bdis	20957	0	1414	0	2141	0	7167	0
RFT	BdisA	BdisA_Bal	913	0	9	0	658	0	253	0
RFT	BdisA	BdisA	2123	35.4682957019364	241	35.679125549822544	403	21.071307505705477	512	21.118712081942874
RFT	BdisA	BdisT	21230	0	1328	0	5271	0	3871	0
RFT	BdisA	BdisT_Bal	8691	0	451	0	6237	0	2905	0
RFT	BdisT	Osat_Bal	14088	0	592	0	12964	0	1716	0
RFT	BdisT	Osat	14070	0	610	0	18285	0	2487	0
RFT	BdisT	Bdis_Bal	9051	0	257	0	7291	0	2017	0
SVC	Bdis_Bal	Osat_Bal	10480	0	4200	0	5861	0	8819	0
RFT	BdisT	Bdis	21703	0	668	0	6302	0	3006	0
RFT	BdisT	BdisA_Bal	8932	0	230	0	7081	0	2081	0
RFT	BdisT	BdisA	22961	0	687	0	5919	0	3243	0
RFT	BdisT	BdisT	2003	32.863353450309965	252	33.18132004607411	443	19.924858845171276	470	19.77371993328519
RFT	BdisT	BdisT_Bal	887	0	41	0	399	0	502	0
RFT	BdisT_Bal	Osat_Bal	12376	0	2304	0	10034	0	4646	0
RFT	BdisT_Bal	Osat	12470	0	2210	0	14194	0	6578	0
RFT	BdisT_Bal	Bdis_Bal	8155	0	1153	0	4050	0	5258	0
RFT	BdisT_Bal	Bdis	19009	0	3362	0	4053	0	5255	0
RFT	BdisT_Bal	BdisA_Bal	8045	0	1117	0	3691	0	5471	0
SVC	Bdis_Bal	Osat	10800	0	3880	0	8776	0	11996	0
RFT	BdisT_Bal	BdisA	20010	0	3638	0	3934	0	5228	0
RFT	BdisT_Bal	BdisT	1628	0	620	0	115	0	807	0
RFT	BdisT_Bal	BdisT_Bal	660	16.34013463836819	254	16.64331697709324	175	10.862780491200215	739	10.816653826391969
SVC	Bdis_Bal	Bdis_Bal	675	16.401219466856727	255	16.401219466856727	248	14.89966442575134	682	14.798648586948742
SVC	Osat_Bal	Osat_Bal	992	53.95368384086484	475	53.95368384086484	463	23.62202362203543	1004	23.62202362203543
SVC	Bdis_Bal	Bdis	1486	0	731	0	202	0	749	0
SVC	Bdis_Bal	BdisA_Bal	6405	0	2757	0	2415	0	6747	0
SVC	Bdis_Bal	BdisA	15108	0	8540	0	1872	0	7290	0
SVC	Bdis_Bal	BdisT	13658	0	8900	0	2199	0	6943	0
SVC	Bdis_Bal	BdisT_Bal	6045	0	3097	0	2830	0	6312	0
SVC	Bdis	Osat_Bal	13265	0	1415	0	9525	0	5155	0
SVC	Bdis	Osat	13424	0	1256	0	13919	0	6853	0
SVC	Bdis	Bdis_Bal	880	0	73	0	535	0	374	0
SVC	Bdis	Bdis	1964	25.13961017995307	273	25.15949125081825	468	15.297058540778355	462	15.165750888103101
SVC	Bdis	BdisA_Bal	8368	0	794	0	5725	0	3437	0
SVC	Osat_Bal	Osat	1053	0	418	0	704	0	1371	0
SVC	Bdis	BdisA	20683	0	2965	0	4784	0	4378	0
SVC	Bdis	BdisT	21034	0	1524	0	7679	0	1463	0
SVC	Bdis	BdisT_Bal	8676	0	466	0	8055	0	1087	0
SVC	BdisA_Bal	Osat_Bal	10194	0	4486	0	5682	0	8998	0
SVC	BdisA_Bal	Osat	10518	0	4162	0	8426	0	12346	0
SVC	BdisA_Bal	Bdis_Bal	6571	0	2737	0	2180	0	7128	0
SVC	BdisA_Bal	Bdis	14276	0	8095	0	1650	0	7658	0
SVC	BdisA_Bal	BdisA_Bal	636	12.767145334803704	279	12.767145334803704	220	16.911534525287763	695	16.73320053068151
SVC	BdisA_Bal	BdisA	1493	0	849	0	162	0	777	0
SVC	BdisA_Bal	BdisT	13662	0	8896	0	1960	0	7182	0
SVC	Osat_Bal	Bdis_Bal	6268	0	3040	0	2530	0	6778	0
SVC	BdisA_Bal	BdisT_Bal	6070	0	3072	0	2483	0	6659	0
SVC	BdisA	Osat_Bal	13861	0	819	0	11311	0	3369	0
SVC	BdisA	Osat	13992	0	688	0	16486	0	4286	0
SVC	BdisA	Bdis_Bal	8827	0	481	0	6866	0	2442	0
SVC	BdisA	Bdis	20560	0	1811	0	6013	0	3295	0
SVC	BdisA	BdisA_Bal	884	0	38	0	695	0	216	0
SVC	BdisA	BdisA	2179	30.773365106858236	185	31.016124838541646	601	18.76166303929372	314	18.681541692269406
SVC	BdisA	BdisT	21483	0	1075	0	7865	0	1277	0
SVC	BdisA	BdisT_Bal	8812	0	330	0	8170	0	972	0
SVC	BdisT	Osat_Bal	14250	0	430	0	13150	0	1530	0
SVC	Osat_Bal	Bdis	13480	0	8891	0	1885	0	7423	0
SVC	BdisT	Osat	14322	0	358	0	18859	0	1913	0
SVC	BdisT	Bdis_Bal	8971	0	337	0	8249	0	1059	0
SVC	BdisT	Bdis	21325	0	1046	0	7930	0	1378	0
SVC	BdisT	BdisA_Bal	8824	0	338	0	8147	0	1015	0
SVC	BdisT	BdisA	22549	0	1099	0	7715	0	1447	0
SVC	BdisT	BdisT	2139	28.35489375751565	116	28.6705423736629	734	14.422205101855956	180	14.247806848775006
SVC	BdisT	BdisT_Bal	896	0	32	0	801	0	100	0
SVC	BdisT_Bal	Osat_Bal	9393	0	5287	0	5369	0	9311	0
SVC	BdisT_Bal	Osat	9620	0	5060	0	7953	0	12819	0
SVC	BdisT_Bal	Bdis_Bal	5870	0	3438	0	2116	0	7192	0
SVC	Osat_Bal	BdisA_Bal	6133	0	3029	0	2580	0	6582	0
SVC	BdisT_Bal	Bdis	12767	0	9604	0	1647	0	7661	0
SVC	BdisT_Bal	BdisA_Bal	5893	0	3269	0	2055	0	7107	0
SVC	BdisT_Bal	BdisA	13362	0	10286	0	1544	0	7618	0
SVC	BdisT_Bal	BdisT	1395	0	853	0	155	0	767	0
SVC	BdisT_Bal	BdisT_Bal	620	19.949937343260004	293	20.223748416156685	217	16.34013463836819	696	16.278820596099706
GNB	Osat_Bal	Osat_Bal	893	59.648973168026956	574	59.648973168026956	485	21.283796653792763	982	21.283796653792763
GNB	Osat_Bal	Osat	944	0	527	0	694	0	1381	0
GNB	Osat_Bal	Bdis_Bal	5484	0	3824	0	1889	0	7419	0
GNB	Osat_Bal	Bdis	12162	0	10209	0	1500	0	7808	0
GNB	Osat_Bal	BdisA_Bal	5365	0	3797	0	1902	0	7260	0
SVC	Osat_Bal	BdisA	14160	0	9488	0	1879	0	7283	0
GNB	Osat_Bal	BdisA	12723	0	10925	0	1504	0	7658	0
GNB	Osat_Bal	BdisT	12731	0	9827	0	1917	0	7225	0
GNB	Osat_Bal	BdisT_Bal	5625	0	3517	0	2347	0	6795	0
GNB	Osat	Osat_Bal	817	0	643	0	427	0	1049	0
GNB	Osat	Osat	882	62.976185975335156	585	62.976185975335156	665	42.60281680828159	1411	42.532340636273474
GNB	Osat	Bdis_Bal	5260	0	4048	0	1684	0	7624	0
GNB	Osat	Bdis	11563	0	10808	0	1300	0	8008	0
GNB	Osat	BdisA_Bal	5120	0	4042	0	1677	0	7485	0
