Model,Test,Train,AUC,MCC
GNB,Osat_Bal,Bdis_Bal,0.7582595612056964 +/- 0,0.7582595612056964 +/- 0
GNB,Osat_Bal,BdisA,0.7579432883816752 +/- 0,0.7579432883816752 +/- 0
GNB,Osat_Bal,BdisA_Bal,0.7543084623756305 +/- 0,0.7543084623756305 +/- 0
GNB,Osat_Bal,BdisT,0.7384550380633337 +/- 0,0.7384550380633337 +/- 0
GNB,Osat_Bal,BdisT_Bal,0.7433562516700336 +/- 0,0.7433562516700336 +/- 0
GNB,Osat_Bal,Osat,0.723162507269049 +/- 0,0.723162507269049 +/- 0
GNB,Osat_Bal,Osat_Bal,0.7123991658561575 +/- 0.021278881069679075,0.7123991658561575 +/- 0.021278881069679075
RFT,Bdis,Bdis,0.8559402018702088 +/- 0.00928088644572263,0.8559402018702088 +/- 0.00928088644572263
RFT,Bdis,Bdis_Bal,0.913392021258789 +/- 0,0.913392021258789 +/- 0
RFT,Bdis,BdisA,0.9246698522224672 +/- 0,0.9246698522224672 +/- 0
RFT,Bdis,BdisA_Bal,0.8668175704237786 +/- 0,0.8668175704237786 +/- 0
RFT,Bdis,BdisT,0.8791546709637419 +/- 0,0.8791546709637419 +/- 0
RFT,Bdis,BdisT_Bal,0.8454351948959993 +/- 0,0.8454351948959993 +/- 0
RFT,Bdis,Osat,0.7061897785664102 +/- 0,0.7061897785664102 +/- 0
RFT,Bdis,Osat_Bal,0.7060547330331354 +/- 0,0.7060547330331354 +/- 0
RFT,Bdis_Bal,Bdis,0.898811022938606 +/- 0,0.898811022938606 +/- 0
RFT,Bdis_Bal,Bdis_Bal,0.8571951000296208 +/- 0.011387347967680839,0.8571951000296208 +/- 0.011387347967680839
RFT,Bdis_Bal,BdisA,0.8783820383783523 +/- 0,0.8783820383783523 +/- 0
RFT,Bdis_Bal,BdisA_Bal,0.9222133494548943 +/- 0,0.9222133494548943 +/- 0
RFT,Bdis_Bal,BdisT,0.8365727849136757 +/- 0,0.8365727849136757 +/- 0
RFT,Bdis_Bal,BdisT_Bal,0.8576451773977087 +/- 0,0.8576451773977087 +/- 0
RFT,Bdis_Bal,Osat,0.6943641448271121 +/- 0,0.6943641448271121 +/- 0
